Unnamed: 0,SMILES,Fluorescence_Oscillator_Strength
35,Cc1cc(-c2ccc(-n3ccnc3)cc2)cc(-c2cccc(-c3cc(-c4ccc(-n5ccnc5)cc4)cc(C)c3F)c2N)c1F,-0.079154423
36,Cc1ccc(-c2cccc(N(c3ccccc3)c3ccccc3)c2)c(-c2cc(F)c(-c3c(-c4cccc(N(c5ccccc5)c5ccccc5)c4)ccc(C)c3F)cc2F)c1F,-0.013573372
37,N#Cc1ccc(-c2ccc3c4ccccc4n(-c4ccccc4)c3c2)cc1-c1cc(-c2cc(-c3ccc4c5ccccc5n(-c5ccccc5)c4c3)ccc2C#N)c(OCc2ccccc2)cc1F,-0.023529484
38,Cc1cc(-c2cc(-c3cc(C)c(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3C)c(F)nc2N)c(C)cc1-c1ccc(-n2c3ccccc3c3ccccc32)cc1,-0.850267384
39,CCOc1c(-c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc(Cl)cc1-c1ccc(OCC2CCCCO2)c(-c2cc(Cl)cc(-c3ccc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)cc3)c2OCC)c1,-0.015016504
40,CCOc1c(-c2ccc(N(c3ccc(C)cc3)c3ccc(C)cc3)cc2)cc(Cl)cc1-c1sc2ccccc2c1-c1cc(Cl)cc(-c2ccc(N(c3ccc(C)cc3)c3ccc(C)cc3)cc2)c1OCC,-0.099824379
41,Cc1c(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cccc1-c1ccc2c(c1)[nH]c1cc(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)c3C)ccc12,-0.050506441
42,Cc1nn(C)c(-c2cccc(-c3ccc(N4c5ccccc5Sc5ccccc54)cc3)c2F)c1-c1cccc(-c2ccc(N3c4ccccc4Sc4ccccc43)cc2)c1F,-0.037903526
43,COC(=O)c1ccccc1N(c1ccc(-c2cc(-c3ccc4c(c3)C(=O)c3cc(-c5cc(-c6ccc(N(c7cccc(C(F)(F)F)c7)c7ccccc7C(=O)OC)cc6)c6ccccc6c5F)ccc3-4)c(F)c3ccccc23)cc1)c1cccc(C(F)(F)F)c1,-0.055147744
44,Cc1cc(-c2cc3c(c(-c4cc(C)cc(-c5ccc6c7ccccc7n(-c7ccc(-c8ccccc8)cc7)c6c5)c4)c2)NC(=O)C3=O)cc(-c2ccc3c4ccccc4n(-c4ccc(-c5ccccc5)cc4)c3c2)c1,-0.000253705
45,Fc1ccc(-c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3-c2ccccc2)c(-c2csc(-c3c(-c4ccc5c(c4)c4cc(-c6ccccc6)ccc4n5-c4ccccc4)ccc(F)c3F)n2)c1F,-0.030754849
46,CC(C)(C)OC(=O)N(c1ccccc1)c1ccc(-c2cccc(-c3cc(C#N)cc(-c4cccc(-c5ccc(N(C(=O)OC(C)(C)C)c6ccccc6)cc5)c4)c3)c2)cc1,-0.008013339
47,CCOC(=O)c1cc(-c2ccc(N(C(=O)OC(C)(C)C)c3ccccc3)cc2)cc(-c2ccsc2-c2cc(C(=O)OCC)cc(-c3ccc(N(C(=O)OC(C)(C)C)c4ccccc4)cc3)c2)c1,-0.011076451
48,COC(=O)c1ccccc1N(c1ccc(-c2ccc(F)c(F)c2-c2cc(C)c(-c3c(-c4ccc(N(c5cccc(C(F)(F)F)c5)c5ccccc5C(=O)OC)cc4)ccc(F)c3F)cc2C)cc1)c1cccc(C(F)(F)F)c1,-0.050629267
49,CCOC(=O)c1cc(-c2cc(OC)cc(-c3ccc(-n4c5ccc(OC)cc5c5cc(OC)ccc54)cc3)c2)oc1-c1cc(OC)cc(-c2ccc(-n3c4ccc(OC)cc4c4cc(OC)ccc43)cc2)c1,-0.003853523
50,O=C(O)c1cc(-c2sc3ccccc3c2-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)ccc1-c1sc2ccccc2c1-c1ccc2c(c1)c1ccccc1n2-c1ccccc1,-0.208317138
51,CS(=O)(=O)c1cc(-c2cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)ccc2F)cc(-c2cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)ccc2F)c1,-0.014078748
52,CCc1cc(-c2ccc(-c3ccc4c(ccn4C)c3)cc2C)ccc1-c1ccc(-c2ccc3c(ccn3C)c2)cc1C,-1.080883784
53,CCn1c2ccccc2c2cc(-c3ccc(-c4cc(-c5ccc(-c6ccc7c(c6)c6ccccc6n7CC)cc5)cc(S(C)(=O)=O)c4)cc3)ccc21,-1.096962493
54,COc1ccc2c3ccc(OC)cc3n(-c3ccc(-c4c(-c5cocc5-c5sc6ccccc6c5-c5ccc(-n6c7cc(OC)ccc7c7ccc(OC)cc76)cc5)sc5ccccc45)cc3)c2c1,-0.006380858
55,COc1cc(-c2cc(-c3ccc(N(C(=O)OC(C)(C)C)c4ccccc4)cc3)ccc2C#N)c(F)cc1-c1cc(-c2ccc(N(C(=O)OC(C)(C)C)c3ccccc3)cc2)ccc1C#N,-0.809385397
56,Cc1cc(-c2cc(CO)cc(-c3cc(C)c(-c4ccc(N5c6ccccc6CCc6ccccc65)cc4)cc3C)c2)c(C)cc1-c1ccc(N2c3ccccc3CCc3ccccc32)cc1,-0.225296842
57,COC(=O)c1ccccc1N(c1ccc(-c2cnccc2-c2sc(-c3ccncc3-c3ccc(N(c4cccc(C(F)(F)F)c4)c4ccccc4C(=O)OC)cc3)c([N+](=O)[O-])c2[N+](=O)[O-])cc1)c1cccc(C(F)(F)F)c1,-0.001229669
58,Nc1ncc(-c2ccncc2-c2ccc(N3c4ccccc4Sc4ccc(C(F)(F)F)cc43)cc2)nc1-c1ccncc1-c1ccc(N2c3ccccc3Sc3ccc(C(F)(F)F)cc32)cc1,-0.005979223
59,Cc1cc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)cc(-c2sc(-c3cc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc(C)c3F)c3c2OCCO3)c1F,-1.313437749
60,COc1ccc2c(c1)N(c1ccc(-c3cc(C)c(F)c(-c4ccc5cc(-c6cc(-c7ccc(N8c9ccccc9Sc9ccc(OC)cc98)cc7)cc(C)c6F)ccc5c4)c3)cc1)c1ccccc1S2,-0.02813351
61,CN(C)c1ccc(-c2ccccc2-c2ccc3c(c2)[nH]c2cc(-c4ccccc4-c4ccc(N(C)C)c5ccccc45)ccc23)c2ccccc12,-0.08686032
62,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4oc(-c5cc(F)c(-c6cc7cc(-c8ccc(N(c9ccc(C)cc9)c9ccc(C)cc9)cc8)ccc7o6)cc5F)cc4c3)cc2)cc1,-0.199418027
63,Cc1nc(-c2ccncc2-c2ccc3c4ccccc4n(-c4ccc(-c5ccccc5)cc4)c3c2)ccc1-c1ccncc1-c1ccc2c3ccccc3n(-c3ccc(-c4ccccc4)cc3)c2c1,-0.005500471
64,Cn1cnc2ccc(-c3c(-c4ccc(-c5ccc(-c6sc7ccccc7c6-c6ccc7ncn(C)c7c6)cc5)cc4)sc4ccccc34)cc21,-0.450190253
65,CC1(C)c2ccccc2N(c2ccc(-c3ccc(-c4ccc(-c5c6ccccc6c(-c6c7ccccc7c(-c7ccc(-c8ccc(-c9ccc(N%10c%11ccccc%11C(C)(C)c%11ccccc%11%10)cc9)s8)s7)c7ccccc67)c6ccccc56)s4)s3)cc2)c2ccccc21,-0.84479713
66,CN(C)c1ccc(-c2cc(-c3cc(-c4cc(-c5ccc(N(C)C)cc5)c5ccccc5c4F)c4nccn4c3)c(F)c3ccccc23)cc1,-0.065071317
67,Fc1c(F)c(C=Cc2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)c(F)c(C=Cc2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)c1F,-1.200190291
68,Cc1cc(-c2ccc3c4ccccc4n(-c4ccc(-c5ccccc5)cc4)c3c2)ccc1-c1ccccc1-c1ccccc1-c1ccc(-c2ccc3c4ccccc4n(-c4ccc(-c5ccccc5)cc4)c3c2)cc1C,-0.017063879
69,COc1ccc2c(c1)N(c1ccc(-c3cscc3-c3c(F)c(F)c(-c4c(F)c(F)c(-c5cscc5-c5ccc(N6c7ccccc7Sc7ccc(OC)cc76)cc5)c(F)c4F)c(F)c3F)cc1)c1ccccc1S2,-0.00195517
70,Cc1cc(-c2cncc(-c3ccc(N4c5ccccc5Sc5ccc(C(F)(F)F)cc54)cc3)c2)cnc1-c1cncc(-c2ccc(N3c4ccccc4Sc4ccc(C(F)(F)F)cc43)cc2)c1,-0.009256352
71,c1ccc(-c2ccc(N(c3ccccc3)c3ccc(-c4ccccc4-c4ccc(-c5ccccc5-c5ccc(N(c6ccccc6)c6ccc(-c7ccccc7)cc6)cc5)c5nccnc45)cc3)cc2)cc1,-0.000624326
72,COc1cc(-c2cc(F)cc(-c3ccc4c(ccn4C)c3)c2)ncc1-c1cc(F)cc(-c2ccc3c(ccn3C)c2)c1,-0.03142084
73,CCOc1c(-c2ccc(-n3c4ccc(C)cc4c4cc(C)ccc43)cc2)cc(Cl)cc1-c1cc(-c2cc(Cl)cc(-c3ccc(-n4c5ccc(C)cc5c5cc(C)ccc54)cc3)c2OCC)c2[nH]c(=S)oc2c1,-0.081546806
74,Cc1cc(-c2cc3cc(-c4ccc(N(c5ccccc5)c5ccc(-c6ccccc6)cc5)cc4)ccc3o2)c(C)cc1-c1cc2cc(-c3ccc(N(c4ccccc4)c4ccc(-c5ccccc5)cc4)cc3)ccc2o1,-0.550334157
75,COc1cc(-c2ccc(-c3ccc(N(C)C)c4ccccc34)cc2)ncc1-c1ccc(-c2ccc(N(C)C)c3ccccc23)cc1,-1.144883934
76,COc1cc(-c2ccccc2-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c(OC)cc1-c1ccccc1-c1ccc2c(ccn2C(=O)OC(C)(C)C)c1,-0.044885939
77,FC(F)(F)c1ccc(-c2cccc(N(c3ccccc3)c3ccccc3)c2)c(-c2ccoc2-c2cc(C(F)(F)F)ccc2-c2cccc(N(c3ccccc3)c3ccccc3)c2)c1,-0.00085041
78,Cn1cnc2ccc(-c3cc(-c4ccc(C(N)=O)c(-c5ccnc(-c6ccc7ncn(C)c7c6)c5)n4)ccn3)cc21,-0.012001737
79,COc1ccc(-c2ccc(N(C)C)cc2)c(-c2ccoc2-c2cc(OC)ccc2-c2ccc(N(C)C)cc2)c1,-0.009633165
80,Cc1ccc(-c2cccc(-c3cccc(N(c4ccccc4)c4ccccc4)c3)c2F)cc1-c1cccc(-c2cccc(N(c3ccccc3)c3ccccc3)c2)c1F,-0.029856342
81,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7ccc(N(c8ccc(OC)cc8)c8ccc(OC)cc8)cc7)c6C)n5)n4)c3C)cc2)cc1,-0.000360872
82,COc1ccc2c3ccc(OC)cc3n(-c3ccc(-c4cccc(-c5ccc(-c6cccc(-c7ccc(-n8c9cc(OC)ccc9c9ccc(OC)cc98)cc7)c6C)c(C)c5)c4C)cc3)c2c1,-2.95E-05
83,CN(C)c1ccc(-c2cscc2-c2cc(C(=O)O)oc2-c2cscc2-c2ccc(N(C)C)cc2)cc1,-0.001358355
84,c1ccc2c(c1)CCc1ccccc1N2c1ccc(-c2ccccc2-c2ccccc2-c2ccc(-c3ccccc3-c3ccccc3-c3ccc(N4c5ccccc5CCc5ccccc54)cc3)o2)cc1,-0.051073919
85,CCn1c2ccccc2c2cc(-c3cc(F)cc(-c4cc(C)c(-c5cc(F)cc(-c6ccc7c(c6)c6ccccc6n7CC)c5)cn4)c3)ccc21,-0.062628686
86,COc1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1-c1cc(OC)c(-c2cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)ccc2OC)cn1,-0.111682868
87,Cc1cc(-c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3-c2ccccc2)cc(-c2ccc(-c3cc(-c4ccc5c(c4)c4cc(-c6ccccc6)ccc4n5-c4ccccc4)cc(C)c3F)c(C)n2)c1F,-0.013705069
88,CN(C)c1ccc(-c2ccc(C#N)c(-c3ccc(-c4cc(-c5ccc(N(C)C)c6ccccc56)ccc4C#N)c(C(F)(F)F)c3)c2)c2ccccc12,-0.120090897
89,Cc1ccc2c(c1)c1cc(C)ccc1n2-c1ccc(-c2ccccc2-c2cnc(-c3ccccc3-c3ccc(-n4c5ccc(C)cc5c5cc(C)ccc54)cc3)c3nsnc23)cc1,-0.002238683
90,Oc1c(-c2ccc(-c3ccc(N4c5ccccc5CCc5ccccc54)cc3)s2)cc(F)cc1-c1ccc(-c2ccc(N3c4ccccc4CCc4ccccc43)cc2)s1,-0.324451566
91,CC(=O)Nc1n[nH]c(-c2ccncc2-c2ccc3ncn(C)c3c2)c1-c1ccncc1-c1ccc2ncn(C)c2c1,-0.034063526
92,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3cccc(-c4sc5ccccc5c4-c4cccc(-c5ccc(N(c6ccc(C)cc6)c6ccc(C)cc6)cc5)c4)c3)cc2)cc1,-0.036799862
93,Cc1cc(-c2ccc(N3c4ccccc4Oc4ccccc43)cc2)cc(-c2cc(C)c(O)c(-c3cc(C)cc(-c4ccc(N5c6ccccc6Oc6ccccc65)cc4)c3)c2)c1,-0.007081215
94,CC(C)(C)c1cc(-c2c(F)cccc2-c2ccc(N(c3ccccc3)c3ccc(-c4ccccc4)cc3)cc2)cc(-c2c(F)cccc2-c2ccc(N(c3ccccc3)c3ccc(-c4ccccc4)cc3)cc2)c1,-0.278658466
95,Fc1cccc(-c2ccc3c4ccccc4n(-c4ccc(-c5ccccc5)cc4)c3c2)c1-c1ccc(-c2c(F)cccc2-c2ccc3c4ccccc4n(-c4ccc(-c5ccccc5)cc4)c3c2)nn1,-0.000836648
96,Cc1cc(-c2ccc(N3c4ccccc4Sc4ccccc43)cc2)cc(-c2cc(-c3cc(C)cc(-c4ccc(N5c6ccccc6Sc6ccccc65)cc4)c3)c3nccn3n2)c1,-0.006473998
97,COc1cc(-c2cccc(-c3ccc(-n4c(-c5ccccc5)nc5ccccc54)cc3)c2C)cc(-c2cccc(-c3ccc(-n4c(-c5ccccc5)nc5ccccc54)cc3)c2C)c1,-0.323512202
98,CC(C)(C)OC(=O)n1ccc2cc(-c3cc(F)cc(-c4ccc(-c5ccc(-c6cc(F)cc(-c7ccc8c(ccn8C(=O)OC(C)(C)C)c7)c6)s5)s4)c3)ccc21,-1.805240157
99,COc1cc(-c2ccc(-c3cc(C)c(-c4ccc(-c5cc(OC)cc(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)c5)cc4)cc3C)cc2)cc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1,-0.76627051
100,CCCCCCc1cc(-c2ccncc2-c2ccc(-n3c4ccc(C)cc4c4cc(C)ccc43)cc2)c(CCCCCC)cc1-c1ccncc1-c1ccc(-n2c3ccc(C)cc3c3cc(C)ccc32)cc1,-0.237722196
101,Cc1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)ccc1-c1cc(-c2ccc(-c3cccc(-n4c5ccccc5c5ccccc54)c3)cc2C)cc(C(C)(C)C)c1,-0.010537643
102,Cc1cc(-c2ccc(N3c4ccccc4Sc4ccc(C(F)(F)F)cc43)cc2)ccc1-c1n[nH]c(N)c1-c1ccc(-c2ccc(N3c4ccccc4Sc4ccc(C(F)(F)F)cc43)cc2)cc1C,-0.003473351
103,COc1ccc2c3ccccc3n(-c3ccc(-c4cscc4-c4c(F)c(F)c(-c5cscc5-c5ccc(-n6c7ccccc7c7ccc(OC)cc76)cc5)c5nsnc45)cc3)c2c1,-0.000810861
104,CN(C)c1ccc(-c2ncccc2-c2cc(F)c(-c3cccnc3-c3ccc(N(C)C)cc3)c3nsnc23)cc1,-0.021009924
105,CCn1c2ccccc2c2cc(-c3ccc(/C=C/c4cc5sc(/C=C/c6ccc(-c7ccc8c(c7)c7ccccc7n8CC)cc6)cc5s4)cc3)ccc21,-3.458286537
106,COc1ccc2c3ccc(OC)cc3n(-c3ccc(-c4cncc(-c5cc(C)c(-c6cncc(-c7ccc(-n8c9cc(OC)ccc9c9ccc(OC)cc98)cc7)c6)s5)c4)cc3)c2c1,-1.88E-05
107,Oc1cc(-c2ccccc2-c2ccccc2-c2ccc(N3c4ccccc4Sc4ccc(C(F)(F)F)cc43)cc2)c(O)cc1-c1ccccc1-c1ccccc1-c1ccc(N2c3ccccc3Sc3ccc(C(F)(F)F)cc32)cc1,-0.00400427
108,COc1ccc2c3ccccc3n(-c3ccc(-c4ccc(F)c(F)c4-c4cc(O)cc(-c5c(-c6ccc(-n7c8ccccc8c8ccc(OC)cc87)cc6)ccc(F)c5F)c4)cc3)c2c1,-0.112504315
109,CS(=O)(=O)c1cc(-c2cc(-c3ccc(N4c5ccccc5Sc5ccccc54)cc3)cc(C(F)(F)F)c2)cc(-c2cc(-c3ccc(N4c5ccccc5Sc5ccccc54)cc3)cc(C(F)(F)F)c2)c1,-0.070656396
110,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3c(-c4cc(C)cnc4-c4sc5ccccc5c4-c4ccc(N(c5ccc(OC)cc5)c5ccc(OC)cc5)cc4)sc4ccccc34)cc2)cc1,-0.040042777
111,Cc1cc(-c2ccc(N3c4ccccc4Oc4ccccc43)cc2)cc(-c2ccc(-c3cc(-c4ccc(N5c6ccccc6Oc6ccccc65)cc4)cc(C)c3F)s2)c1F,-0.004885423
112,COc1ccc2c(c1)c1cc(OC)ccc1n2-c1ccc(-c2ccc(C)c(F)c2-c2cc(-c3c(-c4ccc(-n5c6ccc(OC)cc6c6cc(OC)ccc65)cc4)ccc(C)c3F)c3[nH]c(=S)oc3c2)cc1,-0.089981687
113,CC1(C)c2ccccc2N(c2ccc(-c3cc(F)cc(-c4[nH]c5nc[nH]c(=O)c5c4-c4cc(F)cc(-c5ccc(N6c7ccccc7C(C)(C)c7ccccc76)cc5)c4)c3)cc2)c2ccccc21,-0.024994445
114,COc1ccc2c3ccc(OC)cc3n(-c3ccc(-c4ccc(/C=C/c5ccc(C(N)=O)c(/C=C/c6ccc(-c7ccc(-n8c9cc(OC)ccc9c9ccc(OC)cc98)cc7)cc6)n5)cc4)cc3)c2c1,-8.37E-05
115,COC(=O)c1cc(-c2c(-c3ccc(-n4c5ccc(C)cc5c5cc(C)ccc54)cc3)ccc(C)c2F)oc1-c1c(-c2ccc(-n3c4ccc(C)cc4c4cc(C)ccc43)cc2)ccc(C)c1F,-0.197552987
116,c1cc(-c2ccccc2-c2ccsc2-c2ccccc2-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,-0.003109795
117,COc1ccc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)cc1-c1nnn(C)c1-c1cc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)ccc1OC,-0.008362161
118,Cn1cnc2ccc(/C=C/c3ccc(/C=C/c4ccc5ncn(C)c5c4)o3)cc21,-1.854215823
